x coord,y coord
0.804719,0.100000
-4.184034,0.100000
-9.182755,0.100000
-14.182671,0.100000
-19.182664,0.100000
1.608312,0.200000
-3.369188,0.200000
-8.365698,0.200000
-13.365361,0.200000
-18.365330,0.200000
2.410776,0.300000
-2.555464,0.300000
-7.548914,0.300000
-12.548091,0.300000
-17.548001,0.300000
3.212107,0.400000
-1.742866,0.400000
-6.732485,0.400000
-11.730888,0.400000
-16.730682,0.400000
4.012303,0.500000
-0.931398,0.500000
-5.916482,0.500000
-10.913783,0.500000
-15.913379,0.500000
4.811360,0.600000
-0.121062,0.600000
-5.100971,0.600000
-10.096811,0.600000
-15.096102,0.600000
5.609275,0.700000
0.688138,0.700000
-4.286013,0.700000
-9.280008,0.700000
-14.278865,0.700000
6.406045,0.800000
1.496199,0.800000
-3.471663,0.800000
-8.463414,0.800000
-13.461680,0.800000
7.201667,0.900000
2.303118,0.900000
-2.657972,0.900000
-7.647070,0.900000
-12.644566,0.900000
7.996136,1.000000
3.108891,1.000000
-1.844987,1.000000
-6.831016,1.000000
-11.827541,1.000000
8.789450,1.100000
3.913516,1.100000
-1.032749,1.100000
-6.015293,1.100000
-11.010626,1.100000
9.581606,1.200000
4.716988,1.200000
-0.221298,1.200000
-5.199945,1.200000
-10.193845,1.200000
10.372600,1.300000
5.519305,1.300000
0.589331,1.300000
-4.385010,1.300000
-9.377223,1.300000
11.162429,1.400000
6.320463,1.400000
1.399104,1.400000
-3.570531,1.400000
-8.560786,1.400000
11.951090,1.500000
7.120459,1.500000
2.207991,1.500000
-2.756547,1.500000
-7.744562,1.500000
12.738578,1.600000
7.919289,1.600000
3.015964,1.600000
-1.943096,1.600000
-6.928579,1.600000
13.524892,1.700000
8.716949,1.700000
3.822999,1.700000
-1.130216,1.700000
-6.112867,1.700000
14.310026,1.800000
9.513438,1.800000
4.629070,1.800000
-0.317944,1.800000
-5.297457,1.800000
15.093979,1.900000
10.308750,1.900000
5.434155,1.900000
0.493684,1.900000
-4.482379,1.900000
15.876745,2.000000
11.102883,2.000000
6.238236,2.000000
1.304634,2.000000
-3.667665,2.000000
16.658323,2.100000
11.895834,2.100000
7.041292,2.100000
2.114874,2.100000
-2.853347,2.100000
17.438709,2.200000
12.687598,2.200000
7.843307,2.200000
2.924371,2.200000
-2.039456,2.200000
18.217898,2.300000
13.478172,2.300000
8.644265,2.300000
3.733096,2.300000
-1.226024,2.300000
18.995887,2.400000
14.267552,2.400000
9.444149,2.400000
4.541019,2.400000
-0.413083,2.400000
19.772674,2.500000
15.055736,2.500000
10.242946,2.500000
5.348113,2.500000
0.399337,2.500000
20.548254,2.600000
15.842719,2.600000
11.040644,2.600000
6.154350,2.600000
1.211203,2.600000
21.322624,2.700000
16.628498,2.700000
11.837229,2.700000
6.959706,2.700000
2.022485,2.700000
22.095780,2.800000
17.413069,2.800000
12.632691,2.800000
7.764157,2.800000
2.833154,2.800000
22.867718,2.900000
18.196429,2.900000
13.427018,2.900000
8.567678,2.900000
3.643179,2.900000
23.638436,3.000000
18.978574,3.000000
14.220200,3.000000
9.370249,3.000000
4.452531,3.000000
24.407928,3.100000
19.759501,3.100000
15.012229,3.100000
10.171848,3.100000
5.261182,3.100000
25.176193,3.200000
20.539205,3.200000
15.803093,3.200000
10.972455,3.200000
6.069104,3.200000
25.943225,3.300000
21.317683,3.300000
16.592786,3.300000
11.772052,3.300000
6.876269,3.300000
26.709022,3.400000
22.094932,3.400000
17.381299,3.400000
12.570621,3.400000
7.682653,3.400000
27.473580,3.500000
22.870947,3.500000
18.168624,3.500000
13.368144,3.500000
8.488228,3.500000
28.236894,3.600000
23.645725,3.600000
18.954753,3.600000
14.164604,3.600000
9.292971,3.600000
28.998961,3.700000
24.419262,3.700000
19.739680,3.700000
14.959988,3.700000
10.096856,3.700000
29.759778,3.800000
25.191554,3.800000
20.523398,3.800000
15.754279,3.800000
10.899860,3.800000
30.519340,3.900000
25.962598,3.900000
21.305900,3.900000
16.547463,3.900000
11.701962,3.900000
31.277644,4.000000
26.732390,4.000000
22.087180,4.000000
17.339528,4.000000
12.503138,4.000000
32.034686,4.100000
27.500925,4.100000
22.867231,4.100000
18.130459,4.100000
13.303368,4.100000
32.790462,4.200000
28.268200,4.200000
23.646049,4.200000
18.920247,4.200000
14.102631,4.200000
33.544968,4.300000
29.034212,4.300000
24.423627,4.300000
19.708877,4.300000
14.900908,4.300000
34.298200,4.400000
29.798955,4.400000
25.199959,4.400000
20.496340,4.400000
15.698180,4.400000
35.050155,4.500000
30.562427,4.500000
25.975040,4.500000
21.282625,4.500000
16.494427,4.500000
35.800828,4.600000
31.324623,4.600000
26.748865,4.600000
22.067722,4.600000
17.289634,4.600000
36.550216,4.700000
32.085539,4.700000
27.521428,4.700000
22.851620,4.700000
18.083782,4.700000
37.298315,4.800000
32.845172,4.800000
28.292724,4.800000
23.634310,4.800000
18.876855,4.800000
38.045120,4.900000
33.603517,4.900000
29.062749,4.900000
24.415784,4.900000
19.668838,4.900000
38.790627,5.000000
34.360570,5.000000
29.831497,5.000000
25.196033,5.000000
20.459716,5.000000
39.534833,5.100000
35.116328,5.100000
30.598964,5.100000
25.975049,5.100000
21.249473,5.100000
40.277734,5.200000
35.870786,5.200000
31.365144,5.200000
26.752823,5.200000
22.038096,5.200000
41.019325,5.300000
36.623940,5.300000
32.130033,5.300000
27.529347,5.300000
22.825571,5.300000
41.759603,5.400000
37.375786,5.400000
32.893626,5.400000
28.304615,5.400000
23.611885,5.400000
42.498563,5.500000
38.126320,5.500000
33.655918,5.500000
29.078618,5.500000
24.397026,5.500000
43.236201,5.600000
38.875538,5.600000
34.416905,5.600000
29.851351,5.600000
25.180982,5.600000
43.972513,5.700000
39.623435,5.700000
35.176582,5.700000
30.622805,5.700000
25.963741,5.700000
44.707495,5.800000
40.370008,5.800000
35.934944,5.800000
31.392975,5.800000
26.745291,5.800000
45.441142,5.900000
41.115252,5.900000
36.691987,5.900000
32.161853,5.900000
27.525622,5.900000
