t,velocity
3.200000,0.467733
3.300000,6.600000
3.300000,4.969275
3.300000,3.853010
3.300000,3.015960
3.300000,2.355486
3.300000,1.820670
3.300000,1.383687
3.300000,1.028021
3.300000,0.742745
3.300000,0.519376
3.400000,6.800000
3.400000,5.123361
3.400000,3.984528
3.400000,3.132886
3.400000,2.461194
3.400000,1.916412
3.400000,1.469601
3.400000,1.103690
3.400000,0.807611
3.400000,0.573082
3.500000,7.000000
3.500000,5.276649
3.500000,4.115146
3.500000,3.249020
3.500000,2.566354
3.500000,2.011973
3.500000,1.555810
3.500000,1.180203
3.500000,0.873878
3.500000,0.628668
3.600000,7.200000
3.600000,5.429135
3.600000,4.244859
3.600000,3.364343
3.600000,2.670921
3.600000,2.107272
3.600000,1.642192
3.600000,1.257399
3.600000,0.941360
3.600000,0.685955
3.700000,7.400000
3.700000,5.580815
3.700000,4.373661
3.700000,3.478838
3.700000,2.774857
3.700000,2.202239
3.700000,1.728636
3.700000,1.335131
3.700000,1.009888
3.700000,0.744767
3.800000,7.600000
3.800000,5.731686
3.800000,4.501547
3.800000,3.592494
3.800000,2.878131
3.800000,2.296814
3.800000,1.815049
3.800000,1.413268
3.800000,1.079303
3.800000,0.804937
3.900000,7.800000
3.900000,5.881745
3.900000,4.628517
3.900000,3.705300
3.900000,2.980716
3.900000,2.390944
3.900000,1.901346
3.900000,1.491694
3.900000,1.149459
3.900000,0.866307
4.000000,8.000000
4.000000,6.030991
4.000000,4.754567
4.000000,3.817248
4.000000,3.082590
4.000000,2.484586
4.000000,1.987455
4.000000,1.570303
4.000000,1.220223
4.000000,0.928726
4.100000,8.200000
4.100000,6.179420
4.100000,4.879699
4.100000,3.928334
4.100000,3.183736
4.100000,2.577703
4.100000,2.073312
4.100000,1.649002
4.100000,1.291475
4.100000,0.992054
4.200000,8.400000
4.200000,6.327031
4.200000,5.003911
4.200000,4.038554
4.200000,3.284141
4.200000,2.670263
4.200000,2.158862
4.200000,1.727710
4.200000,1.363105
4.200000,1.056161
4.300000,8.600000
4.300000,6.473823
4.300000,5.127206
4.300000,4.147907
4.300000,3.383792
4.300000,2.762241
4.300000,2.244058
4.300000,1.806352
4.300000,1.435013
4.300000,1.120925
4.400000,8.800000
4.400000,6.619796
4.400000,5.249584
4.400000,4.256390
4.400000,3.482682
4.400000,2.853613
4.400000,2.328858
4.400000,1.884865
4.400000,1.507111
4.400000,1.186237
4.500000,9.000000
4.500000,6.764947
4.500000,5.371049
4.500000,4.364006
4.500000,3.580804
4.500000,2.944363
4.500000,2.413228
4.500000,1.963192
4.500000,1.579318
4.500000,1.251995
4.600000,9.200000
4.600000,6.909278
4.600000,5.491602
4.600000,4.470754
4.600000,3.678155
4.600000,3.034473
4.600000,2.497136
4.600000,2.041283
4.600000,1.651563
4.600000,1.318105
4.700000,9.400000
4.700000,7.052787
4.700000,5.611248
4.700000,4.576639
4.700000,3.774730
4.700000,3.123934
4.700000,2.580557
4.700000,2.119094
4.700000,1.723782
4.700000,1.384483
4.800000,9.600000
4.800000,7.195475
4.800000,5.729988
4.800000,4.681662
4.800000,3.870529
4.800000,3.212734
4.800000,2.663469
4.800000,2.196587
4.800000,1.795918
4.800000,1.451053
4.900000,9.800000
4.900000,7.337342
4.900000,5.847829
4.900000,4.785827
4.900000,3.965552
4.900000,3.300867
4.900000,2.745854
4.900000,2.273729
4.900000,1.867920
4.900000,1.517746
5.000000,10.000000
5.000000,7.478390
5.000000,5.964773
5.000000,4.889139
5.000000,4.059799
5.000000,3.388326
5.000000,2.827695
5.000000,2.350491
5.000000,1.939742
5.000000,1.584498
5.100000,10.200000
5.100000,7.618617
5.100000,6.080824
5.100000,4.991601
5.100000,4.153273
5.100000,3.475109
5.100000,2.908979
5.100000,2.426849
5.100000,2.011346
5.100000,1.651254
5.200000,10.400000
5.200000,7.758027
5.200000,6.195989
5.200000,5.093220
5.200000,4.245975
5.200000,3.561212
5.200000,2.989698
5.200000,2.502780
5.200000,2.082696
5.200000,1.717962
5.300000,10.600000
5.300000,7.896619
5.300000,6.310271
5.300000,5.194000
5.300000,4.337910
5.300000,3.646634
5.300000,3.069841
5.300000,2.578266
5.300000,2.153762
5.300000,1.784578
5.400000,10.800000
5.400000,8.034395
5.400000,6.423676
5.400000,5.293948
5.400000,4.429081
5.400000,3.731374
5.400000,3.149402
5.400000,2.653292
5.400000,2.224515
5.400000,1.851061
5.500000,11.000000
5.500000,8.171358
5.500000,6.536210
5.500000,5.393068
5.500000,4.519493
5.500000,3.815434
5.500000,3.228376
5.500000,2.727844
5.500000,2.294933
5.500000,1.917374
5.600000,11.200000
5.600000,8.307508
5.600000,6.647877
5.600000,5.491368
5.600000,4.609149
5.600000,3.898816
5.600000,3.306760
5.600000,2.801912
5.600000,2.364995
5.600000,1.983486
5.700000,11.400000
5.700000,8.442847
5.700000,6.758683
5.700000,5.588854
5.700000,4.698057
5.700000,3.981520
5.700000,3.384550
5.700000,2.875485
5.700000,2.434682
5.700000,2.049368
5.800000,11.600000
5.800000,8.577378
5.800000,6.868634
5.800000,5.685532
5.800000,4.786220
5.800000,4.063551
5.800000,3.461745
5.800000,2.948557
5.800000,2.503979
5.800000,2.114994
5.900000,11.800000
5.900000,8.711103
5.900000,6.977736
5.900000,5.781409
5.900000,4.873644
5.900000,4.144911
5.900000,3.538346
5.900000,3.021121
5.900000,2.572873
5.900000,2.180343
6.000000,12.000000
6.000000,8.844025
6.000000,7.085995
6.000000,5.876492
6.000000,4.960337
6.000000,4.225605
6.000000,3.614352
6.000000,3.093172
6.000000,2.641353
6.000000,2.245393
6.100000,12.200000
6.100000,8.976145
6.100000,7.193417
6.100000,5.970787
6.100000,5.046303
6.100000,4.305636
6.100000,3.689764
6.100000,3.164708
6.100000,2.709408
6.100000,2.310129
6.200000,12.400000
6.200000,9.107467
6.200000,7.300008
6.200000,6.064302
6.200000,5.131550
6.200000,4.385010
6.200000,3.764584
6.200000,3.235726
6.200000,2.777031
6.200000,2.374534
6.300000,12.600000
6.300000,9.237993
6.300000,7.405775
6.300000,6.157044
6.300000,5.216084
6.300000,4.463731
6.300000,3.838814
6.300000,3.306223
6.300000,2.844214
6.300000,2.438596
6.400000,12.800000
6.400000,9.367727
6.400000,7.510723
6.400000,6.249020
6.400000,5.299910
6.400000,4.541804
6.400000,3.912457
6.400000,3.376200
6.400000,2.910953
6.400000,2.502303
6.500000,13.000000
6.500000,9.496671
6.500000,7.614860
