2.000000,-37.004946,-77.000032,-117.000000,-157.000000,-197.000000,-237.000000,-277.000000,-317.000000,-357.000000,
4.000000,-34.019963,-74.000177,-114.000001,-154.000000,-194.000000,-234.000000,-274.000000,-314.000000,-354.000000,
6.000000,-31.045204,-71.000535,-111.000006,-151.000000,-191.000000,-231.000000,-271.000000,-311.000000,-351.000000,
8.000000,-28.080825,-68.001205,-108.000015,-148.000000,-188.000000,-228.000000,-268.000000,-308.000000,-348.000000,
10.000000,-25.126986,-65.002288,-105.000034,-145.000000,-185.000000,-225.000000,-265.000000,-305.000000,-345.000000,
12.000000,-22.183852,-62.003885,-102.000066,-142.000001,-182.000000,-222.000000,-262.000000,-302.000000,-342.000000,
14.000000,-19.251590,-59.006099,-99.000118,-139.000002,-179.000000,-219.000000,-259.000000,-299.000000,-339.000000,
16.000000,-16.330371,-56.009033,-96.000196,-136.000004,-176.000000,-216.000000,-256.000000,-296.000000,-336.000000,
18.000000,-13.420371,-53.012793,-93.000307,-133.000006,-173.000000,-213.000000,-253.000000,-293.000000,-333.000000,
20.000000,-10.521770,-50.017484,-90.000460,-130.000010,-170.000000,-210.000000,-250.000000,-290.000000,-330.000000,
22.000000,-7.634750,-47.023215,-87.000665,-127.000016,-167.000000,-207.000000,-247.000000,-287.000000,-327.000000,
24.000000,-4.759498,-44.030095,-84.000931,-124.000024,-164.000001,-204.000000,-244.000000,-284.000000,-324.000000,
26.000000,-1.896207,-41.038235,-81.001271,-121.000035,-161.000001,-201.000000,-241.000000,-281.000000,-321.000000,
28.000000,0.954929,-38.047748,-78.001696,-118.000050,-158.000001,-198.000000,-238.000000,-278.000000,-318.000000,
30.000000,3.793711,-35.058748,-75.002220,-115.000070,-155.000002,-195.000000,-235.000000,-275.000000,-315.000000,
32.000000,6.619934,-32.071354,-72.002858,-112.000095,-152.000003,-192.000000,-232.000000,-272.000000,-312.000000,
34.000000,9.433394,-29.085684,-69.003625,-109.000127,-149.000004,-189.000000,-229.000000,-269.000000,-309.000000,
36.000000,12.233878,-26.101861,-66.004538,-106.000167,-146.000005,-186.000000,-226.000000,-266.000000,-306.000000,
38.000000,15.021172,-23.120008,-63.005614,-103.000217,-143.000007,-183.000000,-223.000000,-263.000000,-303.000000,
40.000000,17.795058,-20.140254,-60.006872,-100.000279,-140.000010,-180.000000,-220.000000,-260.000000,-300.000000,
42.000000,20.555316,-17.162728,-57.008332,-97.000353,-137.000013,-177.000000,-217.000000,-257.000000,-297.000000,
44.000000,23.301720,-14.187563,-54.010014,-94.000442,-134.000017,-174.000001,-214.000000,-254.000000,-294.000000,
46.000000,26.034046,-11.214896,-51.011942,-91.000549,-131.000022,-171.000001,-211.000000,-251.000000,-291.000000,
48.000000,28.752062,-8.244867,-48.014138,-88.000675,-128.000028,-168.000001,-208.000000,-248.000000,-288.000000,
50.000000,31.455539,-5.277619,-45.016626,-85.000824,-125.000035,-165.000001,-205.000000,-245.000000,-285.000000,
52.000000,34.144244,-2.313300,-42.019434,-82.000997,-122.000044,-162.000002,-202.000000,-242.000000,-282.000000,
54.000000,36.817944,0.647938,-39.022587,-79.001199,-119.000054,-159.000002,-199.000000,-239.000000,-279.000000,
56.000000,39.476406,3.605941,-36.026114,-76.001432,-116.000067,-156.000003,-196.000000,-236.000000,-276.000000,
58.000000,42.119397,6.560549,-33.030046,-73.001700,-113.000082,-153.000003,-193.000000,-233.000000,-273.000000,
60.000000,44.746689,9.511595,-30.034413,-70.002008,-110.000100,-150.000004,-190.000000,-230.000000,-270.000000,
62.000000,47.358052,12.458912,-27.039247,-67.002358,-107.000121,-147.000005,-187.000000,-227.000000,-267.000000,
64.000000,49.953263,15.402324,-24.044584,-64.002755,-104.000146,-144.000007,-184.000000,-224.000000,-264.000000,
66.000000,52.532105,18.341651,-21.050459,-61.003205,-101.000174,-141.000008,-181.000000,-221.000000,-261.000000,
68.000000,55.094365,21.276707,-18.056909,-58.003712,-98.000208,-138.000010,-178.000000,-218.000000,-258.000000,
70.000000,57.639843,24.207303,-15.063973,-55.004281,-95.000246,-135.000012,-175.000001,-215.000000,-255.000000,
72.000000,60.168345,27.133239,-12.071693,-52.004918,-92.000290,-132.000015,-172.000001,-212.000000,-252.000000,
74.000000,62.679694,30.054314,-9.080110,-49.005630,-89.000340,-129.000018,-169.000001,-209.000000,-249.000000,
76.000000,65.173725,32.970317,-6.089270,-46.006423,-86.000397,-126.000021,-166.000001,-206.000000,-246.000000,
78.000000,67.650292,35.881031,-3.099219,-43.007303,-83.000462,-123.000026,-163.000001,-203.000000,-243.000000,
80.000000,70.109269,38.786235,-0.110004,-40.008278,-80.000535,-120.000030,-160.000002,-200.000000,-240.000000,
82.000000,72.550553,41.685697,2.878322,-37.009355,-77.000618,-117.000036,-157.000002,-197.000000,-237.000000,
84.000000,74.974068,44.579182,5.865708,-34.010543,-74.000712,-114.000042,-154.000002,-194.000000,-234.000000,
86.000000,77.379766,47.466445,8.852098,-31.011850,-71.000817,-111.000049,-151.000003,-191.000000,-231.000000,
88.000000,79.767633,50.347235,11.837435,-28.013286,-68.000935,-108.000058,-148.000003,-188.000000,-228.000000,
90.000000,82.137690,53.221293,14.821658,-25.014859,-65.001067,-105.000067,-145.000004,-185.000000,-225.000000,
92.000000,84.489996,56.088355,17.804706,-22.016580,-62.001214,-102.000078,-142.000004,-182.000000,-222.000000,
94.000000,86.824652,58.948146,20.786514,-19.018460,-59.001377,-99.000090,-139.000005,-179.000000,-219.000000,
